Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
122204048,The Way of the Hermit: My 40 years in the Scottish Wilderness,Ken          Smith,"Smith, Ken",Will Millard,"=""1035009846""","=""9781035009848""",0,4.20,Macmillan,Kindle Edition,298,2023,,,2025/09/18,to-read,to-read (#369),to-read,,,,0,0
18406174,Limber: Essays,Angela Pelster,"Pelster, Angela",,"=""1936747758""","=""9781936747757""",5,4.25,Sarabande Books,Paperback,152,2014,2014,2025/09/05,2025/08/25,,,read,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",5,4.15,Harper Voyager,Hardcover,544,2022,2022,2025/09/05,2025/08/09,,,read,,,,1,0
25494343,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1442468351""","=""9781442468351""",0,4.35,Margaret K. McElderry Books,Hardcover,688,2016,2016,,2025/08/17,to-read,to-read (#368),to-read,,,,0,0
60581370,"The Jasad Heir (The Scorched Throne, #1)",Sara  Hashem,"Hashem, Sara",,"=""0316477869""","=""9780316477864""",0,4.05,Orbit Books,Paperback,523,2023,2023,,2025/08/16,to-read,to-read (#367),to-read,,,,0,0
212924025,Life Hacks for a Little Alien,Alice Franklin,"Franklin, Alice",,"=""0316576050""","=""9780316576055""",0,3.71,"Little, Brown and Company",Hardcover,304,2025,,,2025/08/07,to-read,to-read (#366),to-read,,,,0,0
214151202,Broken Country,Clare Leslie Hall,"Hall, Clare Leslie",,"=""166807818X""","=""9781668078181""",4,4.32,Simon & Schuster,Hardcover,319,2025,2025,2025/08/01,2025/07/06,,,read,,,,1,0
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",5,4.34,Ballantine Books,Hardcover,352,2025,2025,2025/08/01,2025/07/06,,,read,,,,1,0
220239075,These Summer Storms,Sarah MacLean,"MacLean, Sarah",,"=""0593972252""","=""9780593972250""",0,3.79,Ballantine Books,Hardcover,384,2025,2025,,2025/07/29,to-read,to-read (#365),to-read,,,,0,0
214325867,The Boxcar Librarian,Brianna Labuskes,"Labuskes, Brianna",,"=""006337630X""","=""9780063376304""",0,4.05,William Morrow Paperbacks,Paperback,446,2025,2025,,2025/07/29,to-read,to-read (#364),to-read,,,,0,0
60142750,All Good People Here,Ashley Flowers,"Flowers, Ashley",,"=""0593496477""","=""9780593496473""",0,3.82,Bantam,Hardcover,312,2022,2022,,2025/07/28,to-read,to-read (#363),to-read,,,,0,0
